,fips,cty_name,state,st_name
612,22043,Grant Parish,LA,Louisiana 
613,22045,Iberia Parish,LA,Louisiana 
614,22047,Iberville Parish,LA,Louisiana 
615,22049,Jackson Parish,LA,Louisiana 
616,22051,Jefferson Parish,LA,Louisiana 
617,22053,Jefferson Davis Parish,LA,Louisiana 
618,22055,Lafayette Parish,LA,Louisiana 
619,22057,Lafourche Parish,LA,Louisiana 
620,22059,La Salle Parish,LA,Louisiana 
621,22061,Lincoln Parish,LA,Louisiana 
622,22063,Livingston Parish,LA,Louisiana 
623,22065,Madison Parish,LA,Louisiana 
624,22067,Morehouse Parish,LA,Louisiana 
625,22069,Natchitoches Parish,LA,Louisiana 
626,22071,Orleans Parish,LA,Louisiana 
627,22073,Ouachita Parish,LA,Louisiana 
628,22075,Plaquemines Parish,LA,Louisiana 
629,22077,Pointe Coupee Parish,LA,Louisiana 
630,22079,Rapides Parish,LA,Louisiana 
631,22081,Red River Parish,LA,Louisiana 
632,22083,Richland Parish,LA,Louisiana 
633,22085,Sabine Parish,LA,Louisiana 
634,22087,St. Bernard Parish,LA,Louisiana 
635,22089,St. Charles Parish,LA,Louisiana 
636,22091,St. Helena Parish,LA,Louisiana 
637,22093,St. James Parish,LA,Louisiana 
638,22095,St. John the Baptist Parish,LA,Louisiana 
639,22097,St. Landry Parish,LA,Louisiana 
640,22099,St. Martin Parish,LA,Louisiana 
641,22101,St. Mary Parish,LA,Louisiana 
642,22103,St. Tammany Parish,LA,Louisiana 
643,22105,Tangipahoa Parish,LA,Louisiana 
644,22107,Tensas Parish,LA,Louisiana 
645,22109,Terrebonne Parish,LA,Louisiana 
646,22111,Union Parish,LA,Louisiana 
647,22113,Vermilion Parish,LA,Louisiana 
648,22115,Vernon Parish,LA,Louisiana 
649,22117,Washington Parish,LA,Louisiana 
650,22119,Webster Parish,LA,Louisiana 
651,22121,West Baton Rouge Parish,LA,Louisiana 
652,22123,West Carroll Parish,LA,Louisiana 
653,22125,West Feliciana Parish,LA,Louisiana 
654,22127,Winn Parish,LA,Louisiana 
,,State Totals,ME,Maine
655,23001,Androscoggin,ME,Maine
656,23003,Aroostook,ME,Maine
657,23005,Cumberland,ME,Maine
658,23007,Franklin,ME,Maine
659,23009,Hancock,ME,Maine
660,23011,Kennebec,ME,Maine
661,23013,Knox,ME,Maine
662,23015,Lincoln,ME,Maine
663,23017,Oxford,ME,Maine
664,23019,Penobscot,ME,Maine
665,23021,Piscataquis,ME,Maine
666,23023,Sagadahoc,ME,Maine
667,23025,Somerset,ME,Maine
668,23027,Waldo,ME,Maine
669,23029,Washington,ME,Maine
670,23031,York,ME,Maine
,,State Totals,MD,Maryland
671,24001,Allegany,MD,Maryland
672,24003,Anne Arundel,MD,Maryland
673,24005,Baltimore,MD,Maryland
674,24009,Calvert,MD,Maryland
675,24011,Caroline,MD,Maryland
676,24013,Carroll,MD,Maryland
677,24015,Cecil,MD,Maryland
678,24017,Charles,MD,Maryland
679,24019,Dorchester,MD,Maryland
680,24021,Frederick,MD,Maryland
681,24023,Garrett,MD,Maryland
682,24025,Harford,MD,Maryland
683,24027,Howard,MD,Maryland
684,24029,Kent,MD,Maryland
685,24031,Montgomery,MD,Maryland
686,24033,Prince George's,MD,Maryland
687,24035,Queen Anne's,MD,Maryland
688,24037,St. Mary's,MD,Maryland
689,24039,Somerset,MD,Maryland
690,24041,Talbot,MD,Maryland
691,24043,Washington,MD,Maryland
692,24045,Wicomico,MD,Maryland
693,24047,Worcester,MD,Maryland
694,24510,Baltimore city,MD,Maryland
,,State Totals,MA,State Totals
695,25001,Barnstable,MA,Massachusetts
696,25003,Berkshire,MA,Massachusetts
697,25005,Bristol,MA,Massachusetts
698,25007,Dukes,MA,Massachusetts
699,25009,Essex,MA,Massachusetts
700,25011,Franklin,MA,Massachusetts
701,25013,Hampden,MA,Massachusetts
702,25015,Hampshire,MA,Massachusetts
703,25017,Middlesex,MA,Massachusetts
704,25019,Nantucket,MA,Massachusetts
705,25021,Norfolk,MA,Massachusetts
706,25023,Plymouth,MA,Massachusetts
707,25025,Suffolk,MA,Massachusetts
708,25027,Worcester,MA,Massachusetts
,,State Totals,MI,Michigan
709,26001,Alcona,MI,Michigan
710,26003,Alger,MI,Michigan
711,26005,Allegan,MI,Michigan
712,26007,Alpena,MI,Michigan
713,26009,Antrim,MI,Michigan
714,26011,Arenac,MI,Michigan
715,26013,Baraga,MI,Michigan
716,26015,Barry,MI,Michigan
