"","geoId","state","stateId","stateAbbreviation","county","coastalCounty","shorelineCounty","sortOrder","regionType","regionName","isCounty"
"171","24025","Maryland",24,"MD","Harford",1,1,18,"S","States",1
"172","24029","Maryland",24,"MD","Kent",1,1,18,"S","States",1
"173","24033","Maryland",24,"MD","Prince Georges",1,0,18,"S","States",1
"174","24035","Maryland",24,"MD","Queen Annes",1,1,18,"S","States",1
"175","24039","Maryland",24,"MD","Somerset",1,1,18,"S","States",1
"176","24037","Maryland",24,"MD","St. Marys",1,1,18,"S","States",1
"177","24041","Maryland",24,"MD","Talbot",1,1,18,"S","States",1
"178","24045","Maryland",24,"MD","Wicomico",1,1,18,"S","States",1
"179","24047","Maryland",24,"MD","Worcester",1,1,18,"S","States",1
"180","25000","Massachusetts",25,"MA","Massachusetts State",0,0,19,"S","States",0
"181","25001","Massachusetts",25,"MA","Barnstable",1,1,19,"S","States",1
"182","25005","Massachusetts",25,"MA","Bristol",1,1,19,"S","States",1
"183","25007","Massachusetts",25,"MA","Dukes",1,1,19,"S","States",1
"184","25009","Massachusetts",25,"MA","Essex",1,1,19,"S","States",1
"185","25017","Massachusetts",25,"MA","Middlesex",1,0,19,"S","States",1
"186","25019","Massachusetts",25,"MA","Nantucket",1,1,19,"S","States",1
"187","25021","Massachusetts",25,"MA","Norfolk",1,1,19,"S","States",1
"188","25023","Massachusetts",25,"MA","Plymouth",1,1,19,"S","States",1
"189","25025","Massachusetts",25,"MA","Suffolk",1,1,19,"S","States",1
"190","26000","Michigan",26,"MI","Michigan State",0,0,20,"S","States",0
"191","26001","Michigan",26,"MI","Alcona",1,1,20,"S","States",1
"192","26003","Michigan",26,"MI","Alger",1,1,20,"S","States",1
"193","26005","Michigan",26,"MI","Allegan",1,1,20,"S","States",1
"194","26007","Michigan",26,"MI","Alpena",1,1,20,"S","States",1
"195","26009","Michigan",26,"MI","Antrim",1,1,20,"S","States",1
"196","26011","Michigan",26,"MI","Arenac",1,1,20,"S","States",1
"197","26013","Michigan",26,"MI","Baraga",1,1,20,"S","States",1
"198","26017","Michigan",26,"MI","Bay",1,1,20,"S","States",1
"199","26019","Michigan",26,"MI","Benzie",1,1,20,"S","States",1
"200","26021","Michigan",26,"MI","Berrien",1,1,20,"S","States",1
"201","26029","Michigan",26,"MI","Charlevoix",1,1,20,"S","States",1
"202","26031","Michigan",26,"MI","Cheboygan",1,1,20,"S","States",1
"203","26033","Michigan",26,"MI","Chippewa",1,1,20,"S","States",1
"204","26041","Michigan",26,"MI","Delta",1,1,20,"S","States",1
"205","26047","Michigan",26,"MI","Emmet",1,1,20,"S","States",1
"206","26053","Michigan",26,"MI","Gogebic",1,1,20,"S","States",1
"207","26055","Michigan",26,"MI","Grand Traverse",1,1,20,"S","States",1
"208","26061","Michigan",26,"MI","Houghton",1,1,20,"S","States",1
"209","26063","Michigan",26,"MI","Huron",1,1,20,"S","States",1
"210","26069","Michigan",26,"MI","Iosco",1,1,20,"S","States",1
"211","26083","Michigan",26,"MI","Keweenaw",1,1,20,"S","States",1
"212","26089","Michigan",26,"MI","Leelanau",1,1,20,"S","States",1
"213","26095","Michigan",26,"MI","Luce",1,1,20,"S","States",1
"214","26097","Michigan",26,"MI","Mackinac",1,1,20,"S","States",1
"215","26099","Michigan",26,"MI","Macomb",1,1,20,"S","States",1
"216","26101","Michigan",26,"MI","Manistee",1,1,20,"S","States",1
"217","26103","Michigan",26,"MI","Marquette",1,1,20,"S","States",1
"218","26105","Michigan",26,"MI","Mason",1,1,20,"S","States",1
"219","26109","Michigan",26,"MI","Menominee",1,1,20,"S","States",1
"220","26115","Michigan",26,"MI","Monroe",1,1,20,"S","States",1
"221","26121","Michigan",26,"MI","Muskegon",1,1,20,"S","States",1
"222","26127","Michigan",26,"MI","Oceana",1,1,20,"S","States",1
"223","26131","Michigan",26,"MI","Ontonagon",1,1,20,"S","States",1
"224","26139","Michigan",26,"MI","Ottawa",1,1,20,"S","States",1
"225","26141","Michigan",26,"MI","Presque Isle",1,1,20,"S","States",1
"226","26145","Michigan",26,"MI","Saginaw",1,1,20,"S","States",1
"227","26151","Michigan",26,"MI","Sanilac",1,1,20,"S","States",1
"228","26153","Michigan",26,"MI","Schoolcraft",1,1,20,"S","States",1
"229","26147","Michigan",26,"MI","St. Clair",1,1,20,"S","States",1
"230","26157","Michigan",26,"MI","Tuscola",1,1,20,"S","States",1
"231","26159","Michigan",26,"MI","Van Buren",1,1,20,"S","States",1
"232","26163","Michigan",26,"MI","Wayne",1,1,20,"S","States",1
"233","27000","Minnesota",27,"MN","Minnesota State",0,0,21,"S","States",0
"234","27031","Minnesota",27,"MN","Cook",1,1,21,"S","States",1
"235","27075","Minnesota",27,"MN","Lake",1,1,21,"S","States",1
"236","27137","Minnesota",27,"MN","St. Louis",1,1,21,"S","States",1
"237","28000","Mississippi",28,"MS","Mississippi State",0,0,22,"S","States",0
"238","28045","Mississippi",28,"MS","Hancock",1,1,22,"S","States",1
"239","28047","Mississippi",28,"MS","Harrison",1,1,22,"S","States",1
"240","28059","Mississippi",28,"MS","Jackson",1,1,22,"S","States",1
"241","33000","New Hampshire",33,"NH","New Hampshire State",0,0,23,"S","States",0
"242","33015","New Hampshire",33,"NH","Rockingham",1,1,23,"S","States",1
"243","33017","New Hampshire",33,"NH","Strafford",1,1,23,"S","States",1
"244","34000","New Jersey",34,"NJ","New Jersey State",0,0,24,"S","States",0
"245","34001","New Jersey",34,"NJ","Atlantic",1,1,24,"S","States",1
"246","34003","New Jersey",34,"NJ","Bergen",1,1,24,"S","States",1
"247","34005","New Jersey",34,"NJ","Burlington",1,0,24,"S","States",1
"248","34007","New Jersey",34,"NJ","Camden",1,1,24,"S","States",1
"249","34009","New Jersey",34,"NJ","Cape May",1,1,24,"S","States",1
"250","34011","New Jersey",34,"NJ","Cumberland",1,1,24,"S","States",1
"251","34013","New Jersey",34,"NJ","Essex",1,1,24,"S","States",1
"252","34015","New Jersey",34,"NJ","Gloucester",1,1,24,"S","States",1
"253","34017","New Jersey",34,"NJ","Hudson",1,1,24,"S","States",1
"254","34023","New Jersey",34,"NJ","Middlesex",1,1,24,"S","States",1
"255","34025","New Jersey",34,"NJ","Monmouth",1,1,24,"S","States",1
"256","34029","New Jersey",34,"NJ","Ocean",1,1,24,"S","States",1
"257","34033","New Jersey",34,"NJ","Salem",1,1,24,"S","States",1
"258","34035","New Jersey",34,"NJ","Somerset",1,0,24,"S","States",1
"259","34039","New Jersey",34,"NJ","Union",1,1,24,"S","States",1
"260","36000","New York",36,"NY","New York State",0,0,25,"S","States",0
"261","36001","New York",36,"NY","Albany",1,0,25,"S","States",1
"262","36005","New York",36,"NY","Bronx",1,1,25,"S","States",1
"263","36011","New York",36,"NY","Cayuga",1,1,25,"S","States",1
"264","36013","New York",36,"NY","Chautauqua",1,1,25,"S","States",1
"265","36027","New York",36,"NY","Dutchess",1,0,25,"S","States",1
"266","36029","New York",36,"NY","Erie",1,1,25,"S","States",1
"267","36045","New York",36,"NY","Jefferson",1,1,25,"S","States",1
"268","36047","New York",36,"NY","Kings",1,1,25,"S","States",1
"269","36055","New York",36,"NY","Monroe",1,1,25,"S","States",1
"270","36059","New York",36,"NY","Nassau",1,1,25,"S","States",1
"271","36061","New York",36,"NY","New York",1,1,25,"S","States",1
"272","36063","New York",36,"NY","Niagara",1,1,25,"S","States",1
"273","36071","New York",36,"NY","Orange",1,0,25,"S","States",1
"274","36073","New York",36,"NY","Orleans",1,1,25,"S","States",1
"275","36075","New York",36,"NY","Oswego",1,1,25,"S","States",1
"276","36079","New York",36,"NY","Putnam",1,0,25,"S","States",1
"277","36081","New York",36,"NY","Queens",1,1,25,"S","States",1
"278","36085","New York",36,"NY","Richmond",1,1,25,"S","States",1
"279","36087","New York",36,"NY","Rockland",1,0,25,"S","States",1
"280","36089","New York",36,"NY","St. Lawrence",1,1,25,"S","States",1
"281","36103","New York",36,"NY","Suffolk",1,1,25,"S","States",1
"282","36111","New York",36,"NY","Ulster",1,0,25,"S","States",1
"283","36117","New York",36,"NY","Wayne",1,1,25,"S","States",1
"284","36119","New York",36,"NY","Westchester",1,1,25,"S","States",1
"285","37000","North Carolina",37,"NC","North Carolina State",0,0,28,"S","States",0
"286","37013","North Carolina",37,"NC","Beaufort",1,1,28,"S","States",1
"287","37015","North Carolina",37,"NC","Bertie",1,1,28,"S","States",1
"288","37019","North Carolina",37,"NC","Brunswick",1,1,28,"S","States",1
"289","37029","North Carolina",37,"NC","Camden",1,1,28,"S","States",1
"290","37031","North Carolina",37,"NC","Carteret",1,1,28,"S","States",1
"291","37041","North Carolina",37,"NC","Chowan",1,1,28,"S","States",1
"292","37049","North Carolina",37,"NC","Craven",1,1,28,"S","States",1
"293","37053","North Carolina",37,"NC","Currituck",1,1,28,"S","States",1
"294","37055","North Carolina",37,"NC","Dare",1,1,28,"S","States",1
"295","37073","North Carolina",37,"NC","Gates",1,0,28,"S","States",1
"296","37091","North Carolina",37,"NC","Hertford",1,0,28,"S","States",1
"297","37095","North Carolina",37,"NC","Hyde",1,1,28,"S","States",1
"298","37129","North Carolina",37,"NC","New Hanover",1,1,28,"S","States",1
"299","37133","North Carolina",37,"NC","Onslow",1,1,28,"S","States",1
"300","37137","North Carolina",37,"NC","Pamlico",1,1,28,"S","States",1
"301","37139","North Carolina",37,"NC","Pasquotank",1,1,28,"S","States",1
"302","37141","North Carolina",37,"NC","Pender",1,1,28,"S","States",1
"303","37143","North Carolina",37,"NC","Perquimans",1,1,28,"S","States",1
"304","37177","North Carolina",37,"NC","Tyrrell",1,1,28,"S","States",1
"305","37187","North Carolina",37,"NC","Washington",1,1,28,"S","States",1
"306","39000","Ohio",39,"OH","Ohio State",0,0,29,"S","States",0
"307","39007","Ohio",39,"OH","Ashtabula",1,1,29,"S","States",1
"308","39035","Ohio",39,"OH","Cuyahoga",1,1,29,"S","States",1
"309","39043","Ohio",39,"OH","Erie",1,1,29,"S","States",1
"310","39085","Ohio",39,"OH","Lake",1,1,29,"S","States",1
"311","39093","Ohio",39,"OH","Lorain",1,1,29,"S","States",1
"312","39095","Ohio",39,"OH","Lucas",1,1,29,"S","States",1
"313","39123","Ohio",39,"OH","Ottawa",1,1,29,"S","States",1
"314","39143","Ohio",39,"OH","Sandusky",1,1,29,"S","States",1
"315","39173","Ohio",39,"OH","Wood",1,0,29,"S","States",1
"316","41000","Oregon",41,"OR","Oregon State",0,0,30,"S","States",0
"317","41007","Oregon",41,"OR","Clatsop",1,1,30,"S","States",1
"318","41009","Oregon",41,"OR","Columbia",1,1,30,"S","States",1
"319","41011","Oregon",41,"OR","Coos",1,1,30,"S","States",1
"320","41015","Oregon",41,"OR","Curry",1,1,30,"S","States",1
"321","41019","Oregon",41,"OR","Douglas",1,1,30,"S","States",1
"322","41039","Oregon",41,"OR","Lane",1,1,30,"S","States",1
"323","41041","Oregon",41,"OR","Lincoln",1,1,30,"S","States",1
"324","41051","Oregon",41,"OR","Multnomah",0,1,30,"S","States",1
"325","41057","Oregon",41,"OR","Tillamook",1,1,30,"S","States",1
"326","42000","Pennsylvania",42,"PA","Pennsylvania State",0,0,31,"S","States",0
"327","42017","Pennsylvania",42,"PA","Bucks",1,1,31,"S","States",1
"328","42045","Pennsylvania",42,"PA","Delaware",1,1,31,"S","States",1
"329","42049","Pennsylvania",42,"PA","Erie",1,1,31,"S","States",1
"330","42101","Pennsylvania",42,"PA","Philadelphia",1,1,31,"S","States",1
"331","44000","Rhode Island",44,"RI","Rhode Island State",0,0,34,"S","States",0
"332","44001","Rhode Island",44,"RI","Bristol",1,1,34,"S","States",1
"333","44003","Rhode Island",44,"RI","Kent",1,1,34,"S","States",1
"334","44005","Rhode Island",44,"RI","Newport",1,1,34,"S","States",1
"335","44007","Rhode Island",44,"RI","Providence",1,1,34,"S","States",1
"336","44009","Rhode Island",44,"RI","Washington",1,1,34,"S","States",1
"337","45000","South Carolina",45,"SC","South Carolina State",0,0,35,"S","States",0
"338","45013","South Carolina",45,"SC","Beaufort",1,1,35,"S","States",1
"339","45015","South Carolina",45,"SC","Berkeley",1,0,35,"S","States",1
"340","45019","South Carolina",45,"SC","Charleston",1,1,35,"S","States",1
"341","45029","South Carolina",45,"SC","Colleton",1,1,35,"S","States",1
"342","45035","South Carolina",45,"SC","Dorchester",1,0,35,"S","States",1
"343","45043","South Carolina",45,"SC","Georgetown",1,1,35,"S","States",1
"344","45051","South Carolina",45,"SC","Horry",1,1,35,"S","States",1
"345","45053","South Carolina",45,"SC","Jasper",1,1,35,"S","States",1
"346","48000","Texas",48,"TX","Texas State",0,0,36,"S","States",0
"347","48007","Texas",48,"TX","Aransas",1,1,36,"S","States",1
"348","48039","Texas",48,"TX","Brazoria",1,1,36,"S","States",1
"349","48057","Texas",48,"TX","Calhoun",1,1,36,"S","States",1
"350","48061","Texas",48,"TX","Cameron",1,1,36,"S","States",1
"351","48071","Texas",48,"TX","Chambers",1,1,36,"S","States",1
"352","48167","Texas",48,"TX","Galveston",1,1,36,"S","States",1
"353","48201","Texas",48,"TX","Harris",1,1,36,"S","States",1
"354","48239","Texas",48,"TX","Jackson",1,1,36,"S","States",1
"355","48245","Texas",48,"TX","Jefferson",1,1,36,"S","States",1
"356","48261","Texas",48,"TX","Kenedy",1,1,36,"S","States",1
"357","48273","Texas",48,"TX","Kleberg",1,1,36,"S","States",1
"358","48321","Texas",48,"TX","Matagorda",1,1,36,"S","States",1
"359","48355","Texas",48,"TX","Nueces",1,1,36,"S","States",1
"360","48361","Texas",48,"TX","Orange",1,1,36,"S","States",1
"361","48391","Texas",48,"TX","Refugio",1,1,36,"S","States",1
"362","48409","Texas",48,"TX","San Patricio",1,1,36,"S","States",1
"363","48469","Texas",48,"TX","Victoria",1,1,36,"S","States",1
"364","48489","Texas",48,"TX","Willacy",1,1,36,"S","States",1
"365","51000","Virginia",51,"VA","Virginia State",0,0,37,"S","States",0
"366","51001","Virginia",51,"VA","Accomack",1,1,37,"S","States",1
"367","51510","Virginia",51,"VA","Alexandria",1,1,37,"S","States",1
"368","51013","Virginia",51,"VA","Arlington",1,1,37,"S","States",1
"369","51033","Virginia",51,"VA","Caroline",1,0,37,"S","States",1
"370","51036","Virginia",51,"VA","Charles City",1,0,37,"S","States",1
"371","51550","Virginia",51,"VA","Chesapeake",1,0,37,"S","States",1
"372","51041","Virginia",51,"VA","Chesterfield",1,0,37,"S","States",1
"373","51057","Virginia",51,"VA","Essex",1,1,37,"S","States",1
"374","51059","Virginia",51,"VA","Fairfax",1,0,37,"S","States",1
"375","51073","Virginia",51,"VA","Gloucester",1,1,37,"S","States",1
"376","51650","Virginia",51,"VA","Hampton",1,1,37,"S","States",1
"377","51085","Virginia",51,"VA","Hanover",1,0,37,"S","States",1
"378","51087","Virginia",51,"VA","Henrico",1,0,37,"S","States",1
"379","51670","Virginia",51,"VA","Hopewell",1,0,37,"S","States",1
"380","51093","Virginia",51,"VA","Isle of Wight",1,1,37,"S","States",1
"381","51095","Virginia",51,"VA","James City",1,1,37,"S","States",1
"382","51097","Virginia",51,"VA","King and Queen",1,0,37,"S","States",1
"383","51099","Virginia",51,"VA","King George",1,1,37,"S","States",1
"384","51101","Virginia",51,"VA","King William",1,0,37,"S","States",1
"385","51103","Virginia",51,"VA","Lancaster",1,1,37,"S","States",1
"386","51115","Virginia",51,"VA","Mathews",1,1,37,"S","States",1
"387","51119","Virginia",51,"VA","Middlesex",1,1,37,"S","States",1
"388","51127","Virginia",51,"VA","New Kent",1,0,37,"S","States",1
