"state","GEOID","county_name","nTracts","nZip","ovarea3","ovpct3","arearank3","RpctTfld","Rscen3","ovarea6","ovpct6","arearank6","RtrFld6","Rscen6","ctyEmp","empz","empzw3","Remp3","empzw6","Remp6","RsmEmp3","RsmEmp6","commEng","commRel","recEng","recRel","mnFshScr","Rfish","fshRnk","pop15","ppct3","popw3","rankp3","ppct6","popw6","rankp6","houseu","hpct3","housew3","rankh3","hpct6","housew6","rankh6","smHse","seashw3","smHse3","seashw6","smHse6","sovich3","sovi3","sovich6","sovi6","OempTot","OceanPct","OceanRnk","totRd3","fldRoad3","pctRd3","rd3kmRnk","rd3PcRnk","rdRnkMn3","totRd6","fldRd6","pctRd6","rd6KmRnk","rd6PctRnk","rdRnkMn6","totRl3","fldRl3","pctRl3","rl3kmRnk","rl3PctRnk","rlRnkKmMn3","totRl6","fldRl6","pctRl6","rl6kmRnk","rl6PctRnk","rlRnkKmMn6","rr3Rank","rrRnk3Mean","rr6Rnk","rrRnk6Mn","totInfra","rnkScr3","rnkInfFld3","rnkScr6","rnkInfFld6"
"New Jersey","34003","Bergen",15,5,"17321361.10","33.90",21,34,35,"17750731.40","34.70",59,40,22,"444086","30208.30","9020.90",20,42,"9345.60",27,35,1,1,1,1,1,40,34,"64496","20.40","13156.00",27,"21.50","13871.30",30,"29410","20.80","6125.30",27,"22.10","6493.20",31,275,79.9,23,87,19,-326.14,57,-359.29,42,"13147","3.00",48,163.11,11.33,"6.90",8,13,10.5,327.78,39.17,"11.90",2,11,6.5,100.4,18.73,"18.70",4,9,6.5,94.18,52.57,"55.80",4,5,4.5,3,8.5,4,6.5,,31.2,,29.5,
"New Jersey","34005","Burlington",30,7,"18347590.80","15.10",22,62,48,"26957185.30","22.20",55,55,50,"200809","40700.20","5051.30",30,31,"7582.20",31,30,1,1,1,1.04,1.009,36,8,"112529","13.20","14874.10",41,"20.60","23198.70",32,"45178","14.10","6360.30",37,"22.50","10171.80",29,132,26.7,15,54,31,-135.58,41,-90.63,41,"6441","3.20",47,106.99,1.78,"1.70",22,26,24,106.99,2.08,"1.90",24,26,25,33.1,0.87,"2.60",29,39,34,53.17,12.71,"23.90",15,16,15.5,34,29,27,25,5,33.4,50,34.7,44
"New Jersey","34007","Camden",29,5,"11211841.40","25.50",23,44,26,"17060020.70","38.80",60,36,35,"201214","31543.40","7399.60",25,38,"11544.40",23,44,1,1,1,1,1,41,10,"112615","12.30","13821.90",42,"19.70","22220.40",34,"44126","12.60","5546.10",43,"20.50","9066.80",34,77,16.1,17,26,22,161.69,24,223.38,36,"2924","1.50",56,50.37,5.23,"10.40",12,9,10.5,50.37,11.49,"22.80",13,3,8,58.2,7.78,"13.40",7,14,10.5,77.2,23.31,"30.20",10,12,11,4,10.5,6,8,8,30.1,42,31.9,32
"New Jersey","34009","Cape May",32,15,"349514134.30","46.40",24,19,4,"422735190.40","56.10",10,19,6,"40684","40366.20","18748.60",12,63,"24012.00",12,63,1.38,1.25,2.31,2,1.734,5,57,"95805","42.50","40742.00",6,"58.10","55654.00",3,"98747","52.60","51891.80",4,"73.20","72313.30",3,"50119","41367.10",58,"47793",61,845.07,10,882.27,31,"9812","24.10",4,,,,43,43,43,,,,43,43,43,37.8,3.39,"9.00",15,20,17.5,116.4,8.81,"7.60",19,34,26.5,35,30.3,43,43,54,25.1,2,24.6,1
"New Jersey","34011","Cumberland",8,13,"288749845.80","36.90",25,30,34,"331156543.50","42.30",18,31,57,"59099","13532.90","2704.80",42,41,"3088.90",45,41,1.08,1,1.46,1.62,1.288,16,28,"26595","29.60","7883.70",18,"33.80","8986.50",20,"8688","39.40","3423.70",10,"44.90","3903.70",14,367,303.2,59,326,56,"1369.83",3,"1374.83",30,"2112","3.60",45,,,,37,37,37,,,,37,37,37,22,3.16,"14.40",16,13,14.5,22.02,4.47,"20.30",28,22,25,28,25.8,37,37,4,30.8,34,36.3,39
"New Jersey","34013","Essex",87,9,"5206726.00","15.80",26,61,49,"12900488.30","39.20",62,35,32,"336420","122792.00","9068.00",19,6,"23663.40",13,5,1,1,1,1,1,42,37,"279793","1.50","4117.30",62,"3.00","8464.90",61,"110243","1.10","1220.40",62,"2.30","2511.70",62,177,2,4,3,4,-95.4,35,-23,38,"7151","2.10",51,48.72,3.31,"6.80",17,14,15.5,138.13,20.5,"14.80",5,7,6,12.5,3.75,"30.10",13,5,9,114.48,65.78,"57.50",2,4,3,7,12.3,3,6,10,33.5,52,31.6,47
"New Jersey","34015","Gloucester",10,7,"64488641.30","40.00",27,24,10,"80796776.40","50.10",42,23,25,"105074","31452.10","8539.30",21,43,"10797.60",26,40,1,1,1,1,1,43,4,"45647","29.60","13525.40",19,"37.60","17162.90",16,"19416","29.60","5742.00",22,"37.50","7283.00",21,14,11.2,54,12,53,254.1,22,254.6,35,"2136","2.00",52,84.18,0.75,"0.90",29,29,29,144.41,9.82,"6.80",15,18,16.5,68.6,22.95,"33.50",3,4,3.5,60.78,36.96,"60.80",6,3,4.5,11,16.3,16,16.5,23,27.3,25,31,20
"New Jersey","34017","Hudson",143,14,"51660508.00","47.00",28,17,22,"67565516.10","61.40",45,13,14,"252557","194540.90","21323.10",7,17,"65169.10",3,23,1,1,1.08,1,1.021,35,40,"573216","11.90","68430.20",44,"15.20","87394.00",44,"240424","13.10","31507.50",42,"16.60","39859.80",40,"1315",595.6,38,704,37,-328.62,58,-333.91,43,"18485","7.30",33,179.78,22.18,"12.30",2,8,5,681.98,43.65,"6.40",1,19,10,231.2,40.93,"17.70",1,10,5.5,335.9,164.97,"49.10",1,6,3.5,1,5.3,10,10,12,29.7,17,27.8,17
"New Jersey","34021","Mercer",25,3,"1395251.40","25.20",29,45,63,"1416785.90","25.60",63,51,60,"245383","9033.10",482.8,55,1,495.8,56,1,,,,,,,62,"84632","3.60","3038.80",58,"3.60","3086.10",60,"34694","4.10","1439.70",57,"4.20","1461.70",60,41,10.1,19,10,16,100,25,-24.5,37,,,,60.78,1.23,"2.00",24,25,24.5,60.78,1.32,"2.20",29,25,27,13,0.38,"3.00",37,37,37,14.7,3.45,"23.50",29,17,23,36,30.8,29,27,6,39.8,45,38.4,48
"New Jersey","34023","Middlesex",67,14,"44557103.90","27.40",30,42,30,"53651578.00","33.00",48,44,43,"413524","98164.60","7658.10",24,26,"10845.10",25,28,1,1,1.03,1,1.007,37,24,"300147","11.80","35498.70",45,"14.10","42457.10",45,"108058","12.50","13527.80",44,"14.70","15926.80",45,546,104,12,119,13,-131,40,-140.29,40,"8802","2.10",50,323.74,2.29,"0.70",19,31,25,323.74,3.33,"1.00",20,30,25,42.4,7.44,"17.50",8,12,10,89.82,23.61,"26.30",9,14,11.5,14,17.5,26,25,30,30.5,26,33.4,29
