,structCompId,complexId.x,abandonFlag,allocMtrFlag,attended8Hr,condenProdFlag,distToShore,drillingFlag,firedVesselFl,gasProdFlag,gasFlaringFlag,mmsCompanyNum,manned24Hr,majCmplxFlag,leaseNum,lastRevDate.x,lactMtrFlag,injectionCode,heliportFlag,workoverFlag,waterProdFlag,waterDepth,tankGaugeFlag,sulfurProdFlag,subdistrictCode,storeTankFlag,rigCount,qtrType,prodEqpmtFlag,productionFlag,powerSourceType,powerGenFlag,oilProdFlag,gasSaleMtrFlag,fldNameCode,districtCode.x,craneCounty,compressorFlag,comglProdFlag,bedCount,areaCode.x,blockNumber.x,meterProverFl,districtCode.y,structNum,areaCode.y,blockNumber.y,structName,srfNrthSthDist,nrthSthDepCode.x,srfEstWstDist.x,estWstDepCode.x,xLoc,yLoc,longitude,latitude,areaCode,blockNumber,complexId.y,deckCount,estWstDepCode.y,installDate,lastRevDate.y,majStructFlg,nrthSthDepCode.y,removalDate,slantSlotCount,slotCount,slotDrillCount,satelliteCompletionCount,structureName,structureNumber,structureTypeCode,srfEstWstDist.y,srfNrtSthDist,underwaterCompCount,authorityType,authorityNumber,authorityStatus,removalYr,installYr
6193,26070_1,26070,N,N,N,Y,14,N,N,Y,N,1834,N,N,66,19-Jun-14,N,NA,N,N,Y,45,N,N,NA,N,0,N,Y,Y,NA,N,N,N,SS113,2,0,N,NA,NA,SS,112,N,2,1,SS,112,V,200,S,2472,W,2127272,57984.3,-90.93594,28.8255,SS,112,26070,2,W,10-May-94,13-Dec-10,N,S,NA,NA,5,5,NA,V,1,FIXED,2472,200,NA,OCS LEASE,66,UNIT,NA,1994
6194,26071_1,26071,N,N,N,N,8,N,N,N,N,1284,N,N,333,27-May-14,N,N,N,N,N,18,N,N,NA,N,0,N,N,N,NA,N,N,N,SS032,2,0,N,N,NA,SS,31,N,2,1,SS,31,A,7929,S,403,E,2015197,163444.1,-91.28575,29.11611,SS,31,26071,1,E,27-Aug-94,9-Jan-95,N,S,NA,NA,1,1,NA,A,1,CAIS,403,7929,NA,OCS LEASE,334,TERMIN,NA,1994
6195,26072_1,26072,N,N,N,N,47,N,N,Y,N,3035,N,Y,G01031,2-Jan-14,N,N,Y,N,Y,187,N,N,NA,N,0,N,Y,Y,NA,N,Y,N,SS253,2,1,N,N,NA,SS,253,N,2,1,SS,253,F,4194,N,95,W,2078095,-99986.62,-91.09053,28.39151,SS,253,26072,3,W,11-Jul-94,30-Oct-15,Y,N,7-Oct-22,NA,5,3,0,F,1,FIXED,95,4194,0,OCS LEASE,G01031,TERMIN,2022,1994
6196,26074_1,26074,Y,N,N,N,30,N,N,N,N,1904,N,N,G10722,27-Aug-15,N,N,N,N,N,27,N,N,NA,N,NA,N,N,N,NA,N,N,N,EI  108,3,1,N,N,NA,EI,110,N,3,1,EI,110,A,2919,N,1801,W,1881624,136486.4,-91.70375,29.04146,EI,110,26074,2,W,13-Nov-94,16-Mar-95,Y,N,19-Aug-99,NA,1,1,NA,A,1,FIXED,1801,2919,NA,OCS LEASE,G10722,RELINQ,1999,1994
6197,26075_1,26075,N,N,N,N,31,N,N,Y,N,105,N,N,423,7-Dec-22,N,N,N,N,N,59,N,N,NA,N,0,N,N,Y,NA,N,Y,N,EI188,3,0,N,N,NA,EI,189,N,3,1,EI,189,JG,630,N,7352,E,1992648,37285.3,-91.35628,28.76919,EI,189,26075,2,E,1-Jan-94,6-Sep-22,N,N,NA,NA,1,1,NA,JG,1,CAIS,7352,630,NA,OCS LEASE,423,TERMIN,NA,1994
6198,26076_1,26076,Y,N,N,N,13,N,N,N,N,2421,N,N,78,27-Aug-15,N,NA,N,N,N,20,N,N,NA,N,0,N,N,N,NA,N,N,N,EI045,3,0,N,NA,NA,EI,51,N,3,1,EI,51,8,3850,N,5700,W,1885523,208048.3,-91.69225,29.23828,EI,51,26076,1,W,20-Jun-94,16-Aug-07,N,N,10-Mar-07,NA,1,1,NA,8,1,CAIS,5700,3850,NA,OCS LEASE,78,TERMIN,2007,1994
6199,26077_1,26077,Y,N,N,N,36,N,N,N,N,114,N,N,G10735,15-Jul-97,N,N,Y,N,N,80,N,N,NA,N,0,N,N,N,NA,N,N,N,EI186,3,1,N,N,NA,EI,186,N,3,1,EI,186,A,7252,S,5518,E,1949416,30668.72,-91.49116,28.7509,EI,186,26077,1,E,1-Jan-94,15-Jul-97,N,S,12-May-97,NA,1,1,NA,A,1,CAIS,5518,7252,NA,OCS LEASE,G10735,TERMIN,1997,1994
6200,26078_1,26078,Y,N,N,N,45,N,N,N,N,231,N,Y,G10779,19-Apr-07,N,N,Y,N,N,150,N,N,NA,N,0,NA,Y,N,D,Y,N,N,SS240,2,1,Y,N,NA,SS,240,N,2,1,SS,240,A,2984,S,5555,E,2119245,-92808.62,-90.96252,28.41095,SS,240,26078,3,E,20-Oct-94,30-Oct-03,Y,S,28-Sep-07,NA,2,1,NA,A,1,FIXED,5555,2984,NA,TIME EXTENSION,NA,NA,2007,1994
6201,26079_1,26079,Y,N,N,N,47,N,N,N,N,231,N,Y,G10779,19-Apr-07,N,N,Y,N,N,145,N,N,NA,N,0,N,Y,N,D,Y,N,N,SS239,2,1,N,N,0,SS,240,N,2,1,SS,240,B,6708,S,4092,W,2113292,-89084.62,-90.981,28.42124,SS,240,26079,3,W,25-Oct-94,23-Mar-95,Y,S,31-Aug-07,NA,2,1,NA,B,1,FIXED,4092,6708,NA,TIME EXTENSION,NA,NA,2007,1994
6202,26080_1,26080,Y,N,N,N,45,N,N,N,N,231,N,N,G11990,27-Mar-97,N,N,N,N,N,150,N,N,NA,N,NA,NA,N,N,NA,N,N,N,SS256,2,1,N,N,NA,SS,256,N,2,1,SS,256,A,600,N,1850,W,2126650,-96392,-90.93954,28.40102,SS,256,26080,3,W,1-Nov-94,6-Aug-97,Y,N,20-Nov-96,NA,2,1,NA,A,1,FIXED,1850,600,NA,OCS LEASE,G11990,RELINQ,1996,1994
