"State","Nmfsname"
"Florida-East","Sharks, Hammerhead"
"Florida-East","Amberjack, Lesser"
"Florida-East","Sardine, Spanish"
"Florida-East","Permit"
"Florida-East","Groupers, Serranidae"
"Florida-East","Eels"
"Florida-East","Tilefish, Blueline"
"Florida-East","Shark, Dusky"
"Florida-East","Harvestfishes"
"Florida-East","Spadefish"
"Florida-East","Lookdown"
"Florida-East","Snapper, Silk"
"Florida-East","Porgies"
"Florida-East","Herring, Atlantic Thread"
"Florida-East","Tuna, Blackfin"
"Florida-East","Weakfish"
"Florida-East","Squids, Loliginidae"
"Florida-East","Pompano, African"
"Florida-East","Lobsters, Slipper"
"Florida-East","Snapper, Lane"
"Florida-East","Jacks"
"Florida-East","Shark, Mako, Shortfin"
"Florida-East","Cutlassfish, Atlantic"
"Florida-East","Crustaceans"
"Florida-East","Hogfish"
"Florida-East","Tuna, Albacore"
"Florida-East","Tripletail"
"Florida-East","Oilfish"
"Florida-East","Drum, Black"
"Florida-East","Spot"
"Florida-East","Flounder, Summer"
"Florida-East","Triggerfishes"
"Florida-East","Escolar"
"Florida-East","Tuna, Little Tunny"
"Florida-East","Pinfish"
"Florida-East","Rudderfish, Banded"
"Florida-East","Moonfish, Atlantic"
"Florida-East","Jack, Almaco"
"Florida-East","Croaker, Atlantic"
"Florida-East","Eel, American"
"Florida-East","Grouper, Black"
"Florida-East","Wahoo"
"Florida-East","Grunts, Haemulidae"
"Florida-East","Shark, Sharpnose, Atlantic"
"Florida-East","Shrimps, Penaeoid"
"Florida-East","Bluefish"
"Florida-East","Grouper, Red"
"Florida-East","Tuna, Bluefin"
"Florida-East","Shark, Blacktip"
"Florida-East","Barracudas, Sphyraenidae"
"Florida-East","Snapper, Mutton"
"Florida-East","Grouper, Yellowedge"
"Florida-East","Seatrout, Spotted"
"Florida-East","Shark, Finetooth"
"Florida-East","Snapper, Gray"
"Florida-East","Menhadens"
"Florida-East","Shark, Blacknose"
"Florida-East","Runner, Blue"
"Florida-East","Scamp"
"Florida-East","Cobia"
"Florida-East","Oyster, Eastern"
"Florida-East","Tunas"
"Florida-East","Mullet, White"
"Florida-East","Jack, Crevalle"
"Florida-East","Shark, Sandbar"
"Florida-East","Grouper, Snowy"
"Florida-East","Sharks, Chondrichthyes"
"Florida-East","Snapper, Red"
"Florida-East","Scad, Bigeye"
"Florida-East","Sheepshead"
"Florida-East","Ballyhoo"
"Florida-East","Shad, Gizzard"
"Florida-East","Tuna, Yellowfin"
"Florida-East","Snapper, Yellowtail"
"Florida-East","Tuna, Bigeye"
"Florida-East","Mojarras"
"Florida-East","Scallop, Atlantic Calico"
"Florida-East","Snapper, Vermilion"
"Florida-East","Amberjack, Greater"
"Florida-East","Flatfishes"
"Florida-East","Dolphinfish"
"Florida-East","Pompano, Florida"
"Florida-East","Kingfishes"
"Florida-East","Crab, Florida Stone"
"Florida-East","Crab, Golden Deepsea"
"Florida-East","Grouper, Gag"
"Florida-East","Mullet, Striped"
"Florida-East","Vertebrates, Jawed"
"Florida-East","Sharks"
"Florida-East","Shrimp, Royal Red"
"Florida-East","Mackerel, Spanish"
"Florida-East","Tilapias"
"Florida-East","Tilefish, Golden"
"Florida-East","Clams, Quahog, Mercenaria"
"Florida-East","Shrimp, Marine"
"Florida-East","Shrimp, Northern Brown"
"Florida-East","Shrimp, Northern Pink"
"Florida-East","Lobster, Caribbean Spiny"
"Florida-East","Mackerel, King And Cero"
"Florida-East","Swordfish"
"Florida-East","Crab, Blue"
"Florida-East","Catfishes-Bullheads, Other"
"Florida-East","Shrimp, Northern White"
"Florida-East","Shrimps, Rock"
"Florida-West","All Species"
"Florida-West","Schoolmaster"
"Florida-West","Bass, Longtail"
"Florida-West","Jack, Horse-Eye"
"Florida-West","Pomfrets"
"Florida-West","Grouper, Marbled"
"Florida-West","Graysby"
"Florida-West","Eels"
"Florida-West","Shark, Sharpnose, Atlantic"
"Florida-West","Parrotfishes"
"Florida-West","Shark, Thresher"
"Florida-West","Squirrelfishes"
"Florida-West","Bass, Rock Sea"
"Florida-West","Shark, Tiger"
"Florida-West","Tripletail"
"Florida-West","Tilefish, Sand"
"Florida-West","Eel, Conger"
"Florida-West","Snapper, Cubera"
"Florida-West","Snapper, Caribbean Red"
"Florida-West","Pompano, African"
"Florida-West","Snapper, Dog"
"Florida-West","Shad, American"
"Florida-West","Lookdown"
"Florida-West","Tuna, Skipjack"
"Florida-West","Rosefish, Blackbelly"
"Florida-West","Hind, Rock"
"Florida-West","Barracudas, Sphyraenidae"
"Florida-West","Catfishes-Bullheads, Other"
"Florida-West","Grouper, Yellowfin"
"Florida-West","Amberjacks"
"Florida-West","Shark, Spinner"
"Florida-West","Shark, Silky"
"Florida-West","Porgy, Jolthead"
"Florida-West","Snappers, Lutjanidae"
"Florida-West","Spadefish"
"Florida-West","Puffers, Sphoeroides"
"Florida-West","Kingfishes"
"Florida-West","Grouper, Misty"
"Florida-West","Snapper, Blackfin"
"Florida-West","Escolar"
"Florida-West","Shrimp, Atlanic Seabob"
"Florida-West","Shark, Bull"
"Florida-West","Drum, Black"
"Florida-West","Margate"
"Florida-West","Flyingfishes"
"Florida-West","Croaker, Atlantic"
"Florida-West","Shark, Blacknose"
"Florida-West","Tuna, Bigeye"
"Florida-West","Rays"
"Florida-West","Spot"
"Florida-West","Shark, Lemon"
"Florida-West","Jack, Bar"
"Florida-West","Groupers, Serranidae"
"Florida-West","Oilfish"
"Florida-West","Scorpionfishes"
"Florida-West","Barrelfish"
"Florida-West","Tunas"
"Florida-West","Shark, Mako, Shortfin"
"Florida-West","Octopuses"
"Florida-West","Hind, Red"
"Florida-West","Menhadens"
"Florida-West","Tuna, Blackfin"
