"","PortID","PortName","ExpTotValue","ExpContainerValue","ExpContainerWeight","time","Year","State","PortNameTiCase","County_GEOID","CountyName","ImpContainerValue","ImpContainerWt","TotPortWt","TotPortContainerVal","TotPortVal","rnkTotValue","rnkTotPortWt","rnkExpValue","rnkExpContainerWt","rnkImpContainerVal","rnkImpContainerWt"
"89","1704","ATLANTA, GA",21625497217,0,0,"2021-12","2021"," GA","Atlanta","13067","Cobb",0,0,0,0,21625497217,23,172.5,168,168,170,170
"90","1303","BALTIMORE, MD",21021889347,4865561922,1503240969,"2013-12","2013"," MD","Baltimore","24005","Baltimore",15363653827,3664929350,5168170319,20229215749,36385543174,15,11,12,12,9,8
"91","1303","BALTIMORE, MD",18624613894,4771435564,1440932090,"2014-12","2014"," MD","Baltimore","24005","Baltimore",16264787393,4015688113,5456620203,21036222957,34889401287,15,11,12,12,9,8
"92","1303","BALTIMORE, MD",15373718236,4833056395,1439409270,"2015-12","2015"," MD","Baltimore","24005","Baltimore",16095327304,4535912555,5975321825,20928383699,31469045540,15,11,12,12,9,8
"93","1303","BALTIMORE, MD",14061033233,5863687845,1959517792,"2016-12","2016"," MD","Baltimore","24005","Baltimore",15322255747,4553174936,6512692728,21185943592,29383288980,15,11,12,12,9,8
"94","1303","BALTIMORE, MD",15863383108,5996752789,2282132191,"2017-12","2017"," MD","Baltimore","24005","Baltimore",17110705736,5128397125,7410529316,23107458525,32974088844,15,11,12,12,9,8
"95","1303","BALTIMORE, MD",16735659605,6558360568,2464501078,"2018-12","2018"," MD","Baltimore","24005","Baltimore",20606614449,5409441145,7873942223,27164975017,37342274054,15,11,12,12,9,8
"96","1303","BALTIMORE, MD",14933513169,5866693782,2749813248,"2019-12","2019"," MD","Baltimore","24005","Baltimore",21028392940,5410547598,8160360846,26895086722,35961906109,15,11,12,12,9,8
"97","1303","BALTIMORE, MD",12658174656,5645225977,2496097328,"2020-12","2020"," MD","Baltimore","24005","Baltimore",18264561504,5326086130,7822183458,23909787481,30922736160,15,11,12,12,9,8
"98","1303","BALTIMORE, MD",17040120979,7557588849,3317737831,"2021-12","2021"," MD","Baltimore","24005","Baltimore",20918115849,5805066886,9122804717,28475704698,37958236828,15,11,12,12,9,8
"99","0102","BANGOR, ME",664908051,313305,68307,"2013-12","2013"," ME","Bangor","23019","Penobscot",0,0,68307,313305,664908051,66,93,102,108,94,82
"100","0102","BANGOR, ME",1248936279,0,0,"2014-12","2014"," ME","Bangor","23019","Penobscot",6102633,33315121,33315121,6102633,1255038912,66,93,102,108,94,82
"101","0102","BANGOR, ME",942618887,590212,71334,"2015-12","2015"," ME","Bangor","23019","Penobscot",33581,9100,80434,623793,942652468,66,93,102,108,94,82
"102","0102","BANGOR, ME",1262776650,497610,490804,"2016-12","2016"," ME","Bangor","23019","Penobscot",34512,9609,500413,532122,1262811162,66,93,102,108,94,82
"103","0102","BANGOR, ME",927639188,724532,26449,"2017-12","2017"," ME","Bangor","23019","Penobscot",0,0,26449,724532,927639188,66,93,102,108,94,82
"104","0102","BANGOR, ME",907187542,387911,27301,"2018-12","2018"," ME","Bangor","23019","Penobscot",37696,47236,74537,425607,907225238,66,93,102,108,94,82
"105","0102","BANGOR, ME",1064356619,345391,24871,"2019-12","2019"," ME","Bangor","23019","Penobscot",30270,372,25243,375661,1064386889,66,93,102,108,94,82
"106","0102","BANGOR, ME",932120919,2144794,84289,"2020-12","2020"," ME","Bangor","23019","Penobscot",235736,30132,114421,2380530,932356655,66,93,102,108,94,82
"107","0102","BANGOR, ME",1491540179,441988,127994,"2021-12","2021"," ME","Bangor","23019","Penobscot",6081679,837632,965626,6523667,1497621858,66,93,102,108,94,82
"108","0112","BAR HARBOR, ME",873330,0,0,"2016-12","2016"," ME","Bar Harbor","23009","Hancock",0,0,0,0,873330,172,156,168,168,133,143
"109","0112","BAR HARBOR, ME",149747,0,0,"2019-12","2019"," ME","Bar Harbor","23009","Hancock",0,0,0,0,149747,172,156,168,168,133,143
"110","0112","BAR HARBOR, ME",1416762,0,0,"2021-12","2021"," ME","Bar Harbor","23009","Hancock",305571,9425,9425,305571,1722333,172,156,168,168,133,143
"111","0111","BATH, ME",2825,0,0,"2018-12","2018"," ME","Bath","23005","Cumberland",0,0,0,0,2825,185,172.5,168,168,170,170
"112","0111","BATH, ME",47592,0,0,"2019-12","2019"," ME","Bath","23005","Cumberland",0,0,0,0,47592,185,172.5,168,168,170,170
"113","2004","BATON ROUGE, LA",5046990529,12136819,27584620,"2013-12","2013"," LA","Baton Rouge","22121","West Baton Rouge",314232576,699071362,726655982,326369395,5361223105,32,30,54,33,43,28
"114","2004","BATON ROUGE, LA",6976264308,23797161,92333668,"2014-12","2014"," LA","Baton Rouge","22121","West Baton Rouge",395248131,529324590,621658258,419045292,7371512439,32,30,54,33,43,28
"115","2004","BATON ROUGE, LA",5320087490,34531073,147696930,"2015-12","2015"," LA","Baton Rouge","22121","West Baton Rouge",249967871,464906338,612603268,284498944,5570055361,32,30,54,33,43,28
"116","2004","BATON ROUGE, LA",5477205586,58561081,398719771,"2016-12","2016"," LA","Baton Rouge","22121","West Baton Rouge",69282930,378450844,777170615,127844011,5546488516,32,30,54,33,43,28
"117","2004","BATON ROUGE, LA",7562692558,90606462,380238797,"2017-12","2017"," LA","Baton Rouge","22121","West Baton Rouge",79612730,264722624,644961421,170219192,7642305288,32,30,54,33,43,28
